gene_name	qvalues	thetas	var	brownSigmas
OG10	NFYA	0.000404474009775383	0.809890000654718	0.0223612954616323	0.517594079587939
OG100	IBTK	0.000188998082073333	0.996999576787747	0.0559553745441521	1.62466403145052
OG1000	IFI35	0.00285296581728889	1.14359393750125	0.0675607437808877	1.12535499017486
OG10000	TAL1	1.02018937748853e-06	0.449632306752822	0.0251528332321438	3.00116250924039
OG10003	ELAVL4	0.00585073280827653	-0.888678046181835	0.473226991663939	6.49867748093096
OG10005	ZYG11B	0.000102137010680689	0.990044585037777	0.113138033703046	3.60623786816472
OG10006	SLC1A7	0.00202406768598798	-0.543145698215117	0.47128307219967	7.68474773627143
OG10008	ACOT11	0.0288215952856151	1.52713382372691	0.319519780655145	3.0554201775366
OG10009	FAM151A	0.00851185674442659	-0.0481855973148631	0.805317913505617	9.64742640666082
OG1001	HEATR6	0.0122485691255365	0.809697485775104	0.0297947937688251	0.3339825895319
OG10010	PARS2	0.000205723820165216	0.598771128657716	0.0685913688277518	2.27248472503373
OG10011	C1orf177	0.0218011478282332	-1.54624600117203	0.514344535534628	5.14506793047076
OG10012	BSND	0.000302568252088006	-1.49519182409225	0.301400274753756	8.10473453609166
OG10013	USP24	0.00523919845755176	1.12334550421654	0.0713022208736541	0.95844873072273
OG10014	PPAP2B	0.000372042410282076	1.78434483475396	0.0593944508297954	1.36521156859501
OG10015	NOL9	0.000340559689261489	0.680976376389588	0.0322233632905845	0.790649276514051
OG10016	PRKAA2	0.000777735597087825	1.26295503439284	0.153643224266865	3.5266975076269
OG10017	KLHL21	0.000197394127900035	1.40955426130011	0.0494761418315482	1.42845211454191
OG10020	SLC45A1	0.0321432794447268	-0.58605218446947	0.409633441084633	3.24550312677416
OG10022	AK4	0.0336368803112934	0.67781075038155	0.334377768360672	2.89091760226647
OG10023	JAK1	0.00092961053559709	1.61636420338734	0.0259434177168013	0.499915847323385
OG10024	RAVER2	0.0895454603288388	0.39382151784436	0.435691779915938	3.04928793346723
OG10025	CTRC	0.00192076420782255	-1.12085526861998	0.947928906462912	15.3372998145983
OG10026	LZIC	0.00256321509032751	0.972414091281543	0.0337757555435319	0.63524204127204
OG10027	RBP7	1	0.824316950252343	1.46092867767484	5.27988756792674
OG10029	FBLIM1	0.0289287490855909	1.63181473115368	0.375174361825245	3.28535723319051
OG1003	PLEKHH3	6.19879800759015e-05	0.952134342771192	0.039046235102947	1.36943187274604
OG10030	TMEM82	0.0343485393290725	-0.271484382767884	0.89341943462235	7.16026514486969
OG10031	SLC25A34	1	1.17609511329634	1.43203802900896	4.3528584660448
OG10033	PDPN	4.46128787332394e-06	0.630368026980772	0.313128256385823	18.6526267953149
OG10034	LRRC38	0.00192547857112163	-0.801023797851447	0.902855681087408	16.9450101491872
OG10035	DHRS3	0.000542994090277845	1.60385885822319	0.141984696224786	3.14373804163056
OG10036	MATN1	0.00950027053395748	-1.29177052655007	0.495712803752342	5.55072177595974
OG10037	LAPTM5	0.0460295829259738	1.25229814406375	0.151173228064245	1.24953818096598
OG10038	SDC3	2.34234765767744e-05	1.25417592315811	0.0369545574064021	1.55273892635635
OG10039	PEF1	0.000163186912878722	1.49051967046018	0.0177977834257742	0.525667366401184
OG10040	SYNC	0.000490764670528227	1.02176477829925	0.137696378639215	3.06301726052919
OG10041	KIAA1522	1	0.576391247907778	0.452798365857681	1.38428845907599
OG10042	TSSK3	0.00093862080346922	-0.668761554407442	0.789134410588982	15.0125638662273
OG10043	TMCO4	2.77541587744814e-05	0.741276411236442	0.0517135091559894	2.02842159120057
OG10046	ALPL	0.000222131857602185	0.838914136936773	0.200042272286784	5.44339308080903
OG10047	WNT4	8.26034022774393e-05	-0.960648505014746	0.379248648137263	12.8117633190549
OG10048	TTLL10	0.00309196128865235	-0.807185672428311	0.568414514414848	8.68529659695156
OG10050	MXRA8	0.00630916149952036	1.31057069021768	0.0459245205794043	0.781881778553072
OG10051	MEGF6	7.47518709357111e-05	0.241019882537326	0.153468429352858	4.83496281932567
OG10052	CCDC27	0.0115319322618916	-1.33663139525709	0.391820034420916	5.91689905544028
OG10053	IL23R	2.42166482418417e-05	-1.33075385695918	0.408517755015333	16.6143049018055
OG10055	C1orf87	0.00123192139227739	-1.28278218838116	0.4311408999997	8.85098489948341
OG10056	NFIA	0.041148943391182	1.31647846135621	0.0525180708707844	0.421527282210556
OG10057	OMA1	2.06264450393699e-05	0.903936259234012	0.0841001633309937	2.99606739860835
OG10059	TM2D1	0.013968869044361	1.39379542911616	0.0614389974445146	0.674314996302822
OG1006	TFE3	0.00285466378401697	1.09241162549954	0.0623267183119396	0.973561597544963
OG10060	USP1	0.000427802238708919	0.943361382256177	0.0326466929508457	0.673523868477816
OG10061	FUBP1	0.000103300968907564	1.43718118620942	0.0265665889763347	0.854633289205995
OG10062	NEXN	0.0049924211443613	2.43189199082495	0.0272821158718768	0.421897489628503
OG10063	DNAJB4	9.39836362082293e-06	1.53393415222182	0.0994148469165274	5.03487347612745
OG10066	LRRC53	0.000588761661330844	-0.598276469420104	0.305211563543294	13.7442716828747
OG10067	TYW3	0.0053332837325605	0.623681760432826	0.0917372404831049	1.12952503515271
OG10068	LHX8	4.67241291187104e-07	-1.92308792644105	0.0250787683555039	3.0465453953211
OG1007	TBC1D25	0.00115771066147981	0.879190544876603	0.0300222736873157	0.431800627500706
OG10071	NTNG1	2.42373328958269e-05	-0.544901590470641	0.213894599112308	8.49222954574546
OG10076	WDR63	0.00200042588512153	-0.876446957356253	0.616517245310404	9.69356564517617
OG10079	ZNF326	0.000457469367622862	1.12833972532425	0.0371560246370032	0.838738932832476
OG1008	ACSL4	0.000996267850393064	0.90457058385608	0.0667223634781085	1.39686181093222
OG10081	BRINP3	0.000133260848216232	-1.35933784790676	0.227288723524025	6.73662199677694
OG10082	GFI1	0.000513953149040243	-0.957398151570523	0.198271277292535	4.35031302018223
OG10083	KCNT2	0.00277262682354528	-0.787007011273023	0.261845755336136	4.16251830651635
OG10086	EXTL2	0.00535760405726105	0.743559250850307	0.0558380688020473	0.710962392295017
OG10087	SLC30A7	4.26029598502279e-06	0.328360701225802	0.064004870869026	3.80832836283994
OG10088	ZNF281	0.175735408882675	0.580516381778679	0.0435668261180684	0.244044065992994
OG1009	INPP5A	0.0296047659229017	1.83332190756717	0.131449810917107	1.39488150414458
OG10090	CADM3	0.000112233670566292	0.662245199730665	0.130393680578878	3.84313521325572
OG10092	TRIM58	0.000153445372363731	-0.863378772905111	0.834014690337438	24.0395016278112
OG10093	SLAMF9	0.00618523721531213	-0.615328200432684	0.7835284480049	10.1285526168854
